image_name,image_mos
1,0.7
2,0.5
3,0.5
4,0.2
5,0.4
6,0.6
7,0.3
8,0.5
9,0.3
10,0.8
11,0.6
12,0.4
13,0.6
14,0.5
15,0.3
16,0.3
17,0.3
18,0.4
19,0.5
20,0.5
21,0.7
22,0.9
23,0.8
24,0.6
25,0.6
26,0.5
27,0.7
28,0.5
29,0.8
30,0.6
31,0.4
32,0.3
33,0.4
34,0.5
35,0.5
36,0.3
37,0.6
38,0.4
39,0.6
40,0.6
41,0.4
42,0.6
43,0.6
44,0.5
45,0.5
46,0.4
47,0.5
48,0.5
49,0.5
50,0.5
51,0.4
52,0.4
53,0.6
54,0.4
55,0.8
56,0.5
57,0.3
58,0.5
59,0.6
60,0.5
61,0.5
62,0.6
63,0.5
64,0.4
65,0.6
66,0.3
67,0.3
68,0.4
69,0.4
70,0.5
71,0.4
72,0.3
73,0.5
74,0.6
75,0.7
76,0.6
77,0.3
78,0.3
79,0.5
80,0.5
81,0.7
82,0.6
83,0.3
84,0.4
85,0.5
86,0.6
87,0.5
88,0.8
89,0.6
90,0.6
91,0.7
92,0.7
93,0.6
94,0.6
95,0.4
96,0.5
97,0.4
98,0.5
99,0.6
100,0.4
101,0.4
102,0.6
103,0.7
104,0.3
105,0.3
106,0.3
107,0.7
108,0.8
109,0.3
110,0.4
111,0.6
112,0.7
113,0.9
114,0.4
115,0.5
116,0.5
117,0.9
118,0.5
119,0.4
120,0.7
121,0.3
122,0.5
123,0.5
124,0.6
125,0.6
126,0.5
127,0.3
128,0.4
129,0.5
130,0.6
131,0.6
132,0.5
133,0.8
134,0.5
135,0.5
136,0.7
137,0.3
138,0.9
139,0.3
140,0.3
141,0.5
142,0.5
143,0.4
144,0.6
145,0.5
146,0.6
147,0.6
148,0.5
149,0.4
150,0.5
151,0.6
152,0.5
153,0.7
154,0.7
155,0.7
156,0.7
157,0.5
158,0.5
159,0.7
160,0.4
161,0.5
162,0.7
163,0.6
164,0.4
165,0.5
166,0.3
